scenario,ev,alg,seed,tl,rt,ttt,eff,imp
od500k,vehev3,tpn2,27548,222.24,15533.69,954.00,731.76,77.20100945854449
od500k,vehev2,tpn2,12837,288.32,16861.54,1182.00,893.6800000000001,84.81503328558186
od500k,vehev1,kapusta2,16993,354.58,20688.26,1577.00,1222.42,70.72635107243697
od500k,vehev3,kapusta,2094,352.46,17972.77,1084.00,731.54,63.87322933109203
od500k,vehev2,no-preemption,4771,797.54,19180.77,1692.00,894.46,
od500k,vehev2,kapusta,30616,521.29,15925.94,1416.00,894.71,69.323972836513
od500k,vehev2,kapusta2,16993,1497.41,18528.07,2392.00,894.5899999999999,-4.437919346064256
od500k,vehev3,allgreen,27422,99.55,15013.54,832.00,732.45,92.01600808424294
od500k,vehev3,tpn2,22760,120.89,14799.13,852.00,731.11,87.6105559825775
od500k,vehev2,no-preemption,12811,1339.42,18302.72,2234.00,894.5799999999999,
od500k,vehev1,tpn2,20276,398.04,18178.61,1618.00,1219.96,67.11255793970139
od500k,vehev3,no-preemption,20276,976.88,24564.39,1708.00,731.12,
od500k,vehev3,allgreen,12811,100.24,20726.04,831.00,730.76,89.71929068849164
od500k,vehev1,kapusta2,6325,1035.80,22952.06,2257.00,1221.2,34.29457698724333
od500k,vehev1,no-preemption,22760,1210.53,15147.52,2432.00,1221.47,
od500k,vehev2,no-preemption,27548,1166.99,21844.11,2061.00,894.01,
od500k,vehev2,kapusta2,10105,4454.15,25995.76,5348.00,893.8500000000004,-231.03804505354844
od500k,vehev3,kapusta,21907,248.74,18309.86,980.00,731.26,74.50912072145933
od500k,vehev3,kapusta2,25029,358.24,17293.24,1090.00,731.76,63.263087730092806
od500k,vehev3,no-preemption,6325,977.04,20714.78,1708.00,730.96,
od500k,vehev3,allgreen,32668,71.93,19488.81,803.00,731.0699999999999,92.62763024383244
od500k,vehev1,no-preemption,6325,1576.43,24533.16,2798.00,1221.57,
od500k,vehev3,tpn2,30366,140.60,14668.42,871.00,730.4,85.59293377463086
od500k,vehev2,tpn2,27422,196.38,15803.58,1092.00,895.62,87.82313220439876
od500k,vehev2,no-preemption,24847,1255.27,17526.89,2150.00,894.73,
od500k,vehev3,tpn,12811,100.34,20316.39,832.00,731.66,89.70903459380737
od500k,vehev2,kapusta2,25029,640.55,17466.47,1536.00,895.45,20.3919814076035
od500k,vehev3,kapusta,30616,338.65,20212.09,1070.00,731.35,65.30012090907229
od500k,vehev1,tpn2,16250,169.64,21188.22,1390.00,1220.3600000000001,86.11011037238397
od500k,vehev2,tpn2,22737,265.92,16448.73,1162.00,896.0799999999999,70.19435539913471
od500k,vehev1,allgreen,27548,350.04,19228.85,1571.00,1220.96,77.83027531651582
od500k,vehev1,no-preemption,10280,1211.34,23121.92,2433.00,1221.66,
od500k,vehev2,no-preemption,10105,1345.51,17391.39,2240.00,894.49,
od500k,vehev3,tpn2,32668,86.17,21552.83,819.00,732.83,91.16812036856724
od500k,vehev3,kapusta2,2094,511.46,17114.07,1243.00,731.54,47.57590045304525
od500k,vehev1,kapusta2,2094,271.44,19530.36,1493.00,1221.56,77.62297717286464
od500k,vehev1,tpn2,31737,179.50,13618.24,1400.00,1220.5,88.6527423066225
od500k,vehev2,no-preemption,32668,887.30,17560.51,1782.00,894.7,
od500k,vehev2,kapusta,22760,541.36,16094.65,1437.00,895.64,56.91352620478332
od500k,vehev2,kapusta,16993,290.32,15581.53,1185.00,894.6800000000001,79.75142629971126
od500k,vehev2,kapusta2,12837,984.44,18659.01,1878.00,893.56,48.15243953821522
od500k,vehev3,allgreen,16993,104.92,21260.58,836.00,731.08,89.26177244209728
od500k,vehev1,tpn2,21907,374.57,16339.29,1595.00,1220.43,69.0371484781854
od500k,vehev1,kapusta,16993,119.19,16574.68,1341.00,1221.81,90.15983356174561
od500k,vehev2,allgreen,27548,75.22,18213.13,968.00,892.78,93.55435779226899
od500k,vehev3,allgreen,17651,77.61,15286.27,809.00,731.39,92.04505852688547
od500k,vehev1,no-preemption,4771,1583.51,22915.52,2804.00,1220.49,
od500k,vehev2,tpn2,20276,268.09,14388.76,1163.00,894.9100000000001,85.71725394508316
od500k,vehev3,kapusta2,10105,619.60,16988.77,1352.00,732.4,36.43172258130707
od500k,vehev1,kapusta2,4771,235.97,19730.26,1456.00,1220.03,85.09829429558387
od500k,vehev3,tpn,10105,179.38,21159.37,910.00,730.62,81.59638863239971
od500k,vehev1,allgreen,12811,101.90,16532.50,1323.00,1221.1,93.5452403273621
od500k,vehev3,tpn,21907,167.97,18841.07,900.00,732.03,82.78643164582905
od500k,vehev2,kapusta,2094,613.80,19713.16,1508.00,894.2,51.08539734149373
od500k,vehev1,kapusta2,30366,539.86,16484.66,1761.00,1221.1399999999999,55.51545414843563
od500k,vehev1,tpn,20276,242.60,22063.18,1464.00,1221.4,79.95554857846336
od500k,vehev2,no-preemption,27226,1439.10,22917.79,2335.00,895.9000000000001,
od500k,vehev2,allgreen,17651,102.71,16787.44,996.00,893.29,92.80086913857153
od500k,vehev3,no-preemption,30616,975.94,20125.85,1707.00,731.06,
od500k,vehev3,no-preemption,4771,976.54,22781.56,1708.00,731.46,
od500k,vehev2,no-preemption,30616,1699.34,18945.20,2594.00,894.6600000000001,
od500k,vehev3,kapusta2,27422,744.98,18107.47,1476.00,731.02,40.2519909854275
od500k,vehev2,tpn2,32556,200.76,17757.97,1095.00,894.24,79.52953412254138
od500k,vehev2,allgreen,16993,91.52,16470.83,987.00,895.48,93.61687288147415
od500k,vehev1,allgreen,32556,333.96,18603.44,1555.00,1221.04,78.85111044968937
od500k,vehev3,tpn2,6479,163.35,19585.05,895.00,731.65,83.2732597431854
od500k,vehev2,allgreen,6325,105.21,18187.41,999.00,893.79,93.51176343621843
od500k,vehev1,tpn2,30616,295.24,15247.96,1517.00,1221.76,75.64528768818313
od500k,vehev2,tpn,16993,102.28,15082.05,997.00,894.72,92.86640907252158
od500k,vehev3,allgreen,10280,68.60,15431.41,800.00,731.4,92.96547339492817
od500k,vehev1,allgreen,16250,344.59,19404.31,1566.00,1221.41,71.78544525595258
od500k,vehev2,tpn2,2094,167.59,15706.73,1062.00,894.41,86.64451244780211
od500k,vehev1,kapusta2,24847,503.20,23086.39,1724.00,1220.8,58.473967832179376
od500k,vehev1,tpn2,10280,227.38,22124.51,1448.00,1220.62,81.22905212409398
od500k,vehev1,no-preemption,20276,1210.31,15236.54,2432.00,1221.69,
od500k,vehev1,no-preemption,30616,1212.25,15183.45,2434.00,1221.75,
od500k,vehev1,kapusta2,27226,434.06,19291.67,1656.00,1221.94,64.19119588173179
od500k,vehev2,kapusta2,2094,2197.75,22039.29,3092.00,894.25,-75.14185075388097
od500k,vehev1,allgreen,22570,359.49,16450.48,1581.00,1221.51,70.31902772502849
od500k,vehev1,tpn,30366,92.08,13427.47,1312.00,1219.92,92.41259403917303
od500k,vehev3,tpn2,10105,143.87,14513.19,875.00,731.13,85.23956089053041
od500k,vehev2,tpn,22760,188.43,17827.98,1083.00,894.5699999999999,85.00298459946676
od500k,vehev2,allgreen,22760,90.78,17988.37,985.00,894.22,92.77488161088782
od500k,vehev1,kapusta,12811,121.98,16569.34,1343.00,1221.02,92.27329161071275
od500k,vehev1,tpn2,227,417.45,20737.41,1638.00,1220.55,73.59482333295382
od500k,vehev3,no-preemption,27226,976.51,20606.14,1708.00,731.49,
od500k,vehev1,tpn2,27226,380.88,21782.78,1601.00,1220.12,68.5784054910243
od500k,vehev1,allgreen,17651,104.73,16563.70,1325.00,1220.27,91.36703101043572
od500k,vehev1,no-preemption,22737,1589.55,21398.53,2811.00,1221.45,
od500k,vehev1,tpn,2094,232.64,13606.54,1455.00,1222.3600000000001,80.82157902112891
od500k,vehev2,no-preemption,32556,980.73,21286.76,1877.00,896.27,
od500k,vehev2,kapusta,30366,555.04,18798.26,1449.00,893.96,63.66469182678145
od500k,vehev3,allgreen,32556,75.36,19241.62,806.00,730.64,92.27924226746033
od500k,vehev2,no-preemption,25029,804.63,18811.57,1700.00,895.37,
od500k,vehev3,tpn,30616,150.20,19541.09,882.00,731.8,84.6097096132959
od500k,vehev2,tpn2,30366,386.75,17749.61,1282.00,895.25,74.68167981408136
od500k,vehev2,tpn,20276,81.04,15457.55,976.00,894.96,95.68251803390481
od500k,vehev3,tpn2,17651,127.45,15801.55,859.00,731.55,86.93651216662225
od500k,vehev1,kapusta2,21907,353.55,20194.73,1575.00,1221.45,70.77471192156992
od500k,vehev3,kapusta2,16250,475.05,20486.90,1207.00,731.95,51.334323618296374
od500k,vehev3,kapusta2,12811,475.57,15158.39,1207.00,731.4300000000001,51.225090510035585
od500k,vehev2,kapusta2,21907,1232.05,19186.38,2127.00,894.95,55.64256269014059
od500k,vehev3,no-preemption,27548,974.78,19025.89,1707.00,732.22,
od500k,vehev3,allgreen,6479,83.89,20305.45,815.00,731.11,91.40981793606258
od500k,vehev3,allgreen,25029,80.90,15973.63,812.00,731.1,91.7038404348049
od500k,vehev1,no-preemption,11718,1587.96,15529.76,2809.00,1221.04,
od500k,vehev2,allgreen,32556,111.71,15608.31,1006.00,894.29,88.60950516452031
od500k,vehev2,no-preemption,6325,1621.55,21057.61,2516.00,894.45,
od500k,vehev2,kapusta2,27548,1293.18,21406.87,2188.00,894.8199999999999,-10.813288888508055
od500k,vehev1,allgreen,30616,351.68,17886.90,1572.00,1220.32,70.98948236749845
od500k,vehev1,allgreen,10105,387.75,19622.69,1608.00,1220.25,67.95295634494273
od500k,vehev3,tpn2,12811,94.95,13286.43,826.00,731.05,90.26183809728931
od500k,vehev3,no-preemption,6479,976.58,22192.55,1708.00,731.42,
od500k,vehev1,tpn2,15239,284.20,20810.33,1505.00,1220.8,82.02016879025219
od500k,vehev2,tpn2,17651,193.93,15960.59,1089.00,895.0699999999999,86.4070932922128
od500k,vehev2,tpn2,10105,238.20,14205.34,1133.00,894.8,82.29667560999175
od500k,vehev1,no-preemption,32556,1579.09,21344.77,2800.00,1220.91,
od500k,vehev2,no-preemption,20276,1877.02,17686.58,2772.00,894.98,
od500k,vehev1,kapusta2,25029,272.07,18420.76,1493.00,1220.93,82.80866927840262
od500k,vehev3,kapusta,10105,195.96,17458.04,927.00,731.04,79.89535241612803
od500k,vehev3,allgreen,21907,95.92,18757.33,827.00,731.08,90.17011682721869
od500k,vehev3,no-preemption,2094,975.62,22296.36,1708.00,732.38,
od500k,vehev1,tpn2,27422,305.28,18122.46,1526.00,1220.72,80.61738898553669
od500k,vehev1,allgreen,24847,364.57,14024.92,1586.00,1221.43,69.91425765615587
od500k,vehev2,allgreen,24847,101.81,12911.19,997.00,895.19,91.88939431357397
od500k,vehev1,no-preemption,16993,1211.26,15074.19,2432.00,1220.74,
od500k,vehev2,kapusta2,32668,1647.55,15050.59,2542.00,894.45,-85.68128028851572
od500k,vehev3,no-preemption,27422,1246.87,18753.55,1978.00,731.1300000000001,
od500k,vehev3,no-preemption,30366,975.91,21722.01,1708.00,732.09,
od500k,vehev3,kapusta2,30616,487.67,15791.10,1219.00,731.3299999999999,50.03073959464721
od500k,vehev3,no-preemption,22760,975.75,21868.82,1707.00,731.25,
od500k,vehev1,kapusta2,16250,332.92,22386.69,1553.00,1220.08,72.74096878786887
od500k,vehev2,kapusta2,6479,2127.81,22619.48,3022.00,894.19,-48.47292290301646
od500k,vehev1,allgreen,4771,629.41,22480.59,1850.00,1220.5900000000001,60.25222448863601
od500k,vehev2,allgreen,31737,90.39,14209.12,985.00,894.61,98.47631024002455
od500k,vehev1,allgreen,15239,413.48,22398.72,1633.00,1219.52,73.84130679589538
od500k,vehev1,allgreen,20276,342.43,25461.31,1563.00,1220.57,71.70724855615504
od500k,vehev2,allgreen,2094,96.42,19351.32,991.00,894.58,92.31615185999809
od500k,vehev2,kapusta2,4771,760.92,18665.94,1656.00,895.08,4.591619229129574
od500k,vehev1,no-preemption,21907,1209.74,15244.14,2432.00,1222.26,
od500k,vehev2,kapusta2,30616,2963.49,23493.58,3858.00,894.5100000000002,-74.39064578012639
od500k,vehev1,no-preemption,12837,1211.06,18729.74,2433.00,1221.94,
od500k,vehev3,tpn2,20276,90.65,15381.80,822.00,731.35,90.72045696503153
od500k,vehev1,kapusta2,17651,216.77,18485.23,1437.00,1220.23,82.1314934797303
od500k,vehev1,kapusta2,30616,536.54,18923.87,1757.00,1220.46,55.74015260878532
od500k,vehev2,kapusta,20276,475.19,23420.06,1370.00,894.81,74.68380731158965
od500k,vehev1,tpn2,22760,246.48,17339.66,1468.00,1221.52,79.63867066491537
od500k,vehev2,no-preemption,15239,1247.26,21021.13,2142.00,894.74,
od500k,vehev2,kapusta2,27422,2230.10,22370.44,3125.00,894.9000000000001,-38.281051384918726
od500k,vehev2,kapusta2,12811,10050.74,32450.53,10945.00,894.2600000000002,-650.3800152304728
od500k,vehev3,kapusta2,17651,478.56,17320.75,1210.00,731.44,50.94811504479203
od500k,vehev2,kapusta2,22570,2838.32,23062.55,3733.00,894.6799999999998,-76.21983398213166
od500k,vehev1,kapusta2,22570,341.89,17980.87,1561.00,1219.1100000000001,71.7721560791955
od500k,vehev2,tpn2,16993,174.83,17875.57,1070.00,895.17,87.80635801866396
od500k,vehev2,no-preemption,16250,2057.69,21489.98,2952.00,894.31,
od500k,vehev3,kapusta2,14368,512.80,16974.72,1243.00,730.2,42.07940362568476
od500k,vehev1,no-preemption,27548,1578.91,22928.11,2799.00,1220.09,
od500k,vehev1,kapusta,30616,143.03,14937.43,1364.00,1220.97,88.20127861414726
od500k,vehev3,kapusta,11718,324.43,18261.38,1056.00,731.5699999999999,66.7820246347282
od500k,vehev1,tpn,22760,104.06,17318.50,1323.00,1218.94,91.40376529288824
od500k,vehev1,no-preemption,12811,1578.68,15524.73,2800.00,1221.32,
od500k,vehev2,no-preemption,30366,1527.55,20689.67,2423.00,895.45,
od500k,vehev3,kapusta2,30366,468.03,13716.30,1199.00,730.97,52.04168417169617
od500k,vehev1,allgreen,30366,342.22,22443.70,1562.00,1219.78,71.80102011387702
od500k,vehev2,tpn,10105,113.05,19086.70,1008.00,894.95,91.59798143454898
od500k,vehev3,no-preemption,22570,976.40,19001.78,1708.00,731.6,
od500k,vehev1,tpn2,16993,395.16,18856.83,1617.00,1221.84,67.37612073378133
od500k,vehev1,allgreen,6325,99.38,20787.03,1319.00,1219.62,93.69588246861579
od500k,vehev1,tpn,30616,244.79,16519.35,1467.00,1222.21,79.80697050938338
od500k,vehev2,tpn2,11718,1009.03,17199.27,1904.00,894.97,20.000792832791557
od500k,vehev3,allgreen,16250,112.08,18819.00,843.00,730.92,88.51815806996875
od500k,vehev2,no-preemption,22737,892.18,15934.32,1787.00,894.82,
od500k,vehev3,allgreen,27226,68.78,17298.85,800.00,731.22,92.95654934409274
od500k,vehev1,kapusta2,12837,124.24,17408.89,1345.00,1220.76,89.74121843674136
od500k,vehev2,kapusta2,30366,2486.48,20737.68,3382.00,895.52,-62.775686556904866
od500k,vehev1,tpn2,12811,263.45,15930.35,1484.00,1220.55,83.31200749993666
od500k,vehev3,tpn2,227,83.70,15130.25,814.00,730.3,93.2839054450917
od500k,vehev3,no-preemption,12811,975.03,21677.93,1707.00,731.97,
od500k,vehev3,tpn2,22570,126.95,16191.72,859.00,732.05,86.99815649324047
od500k,vehev3,no-preemption,25029,975.15,18643.42,1707.00,731.85,
od500k,vehev1,kapusta2,27548,539.19,22906.74,1760.00,1220.81,65.85049179497247
od500k,vehev2,allgreen,20276,89.62,16332.09,985.00,895.38,95.22541049109759
od500k,vehev1,allgreen,31737,106.51,21032.95,1328.00,1221.49,93.26687232912737
od500k,vehev2,kapusta2,27226,1938.94,20230.98,2834.00,895.06,-34.73281912306303
od500k,vehev2,allgreen,12837,95.38,16241.29,989.00,893.62,94.97661582539816
od500k,vehev2,tpn2,22570,168.18,16589.28,1063.00,894.8199999999999,89.55838253645997
od500k,vehev1,no-preemption,27226,1212.16,21749.30,2434.00,1221.84,
od500k,vehev3,tpn,20276,161.90,20421.60,894.00,732.1,83.42682826959299
od500k,vehev1,tpn2,6325,225.18,19585.71,1446.00,1220.82,85.71582626567624
od500k,vehev1,kapusta2,22737,548.14,17806.84,1770.00,1221.8600000000001,65.51602654839421
od500k,vehev2,tpn2,10280,169.15,19562.40,1064.00,894.85,84.3295473495025
od500k,vehev3,tpn2,32556,222.37,16608.76,953.00,730.63,77.21782249223928
od500k,vehev3,tpn2,16250,304.98,19403.53,1036.00,731.02,68.75685089381754
od500k,vehev1,kapusta2,32668,501.48,21166.55,1722.00,1220.52,58.52315021587018
od500k,vehev1,no-preemption,30366,1213.59,15304.32,2434.00,1220.41,
od500k,vehev3,allgreen,24847,77.56,17722.48,808.00,730.44,92.05319726636544
od500k,vehev1,no-preemption,25029,1582.60,19027.53,2804.00,1221.4,
od500k,vehev1,allgreen,6479,362.26,21410.70,1583.00,1220.74,77.0725872293564
od500k,vehev2,no-preemption,10280,1079.42,20257.67,1974.00,894.5799999999999,
od500k,vehev2,tpn2,4771,209.00,14990.49,1104.00,895.0,73.79441783484214
od500k,vehev2,kapusta2,6325,1892.24,23355.17,2787.00,894.76,-16.693287286855174
od500k,vehev2,allgreen,25029,732.95,18813.96,1628.00,895.05,8.90844238966978
od500k,vehev2,allgreen,30366,105.57,18310.61,1000.00,894.4300000000001,93.08893325914045
od500k,vehev3,kapusta2,20276,691.73,16913.24,1423.00,731.27,29.18986978953403
od500k,vehev3,kapusta2,27226,437.80,16335.96,1169.00,731.2,55.16686977091888
od500k,vehev2,tpn2,15239,185.96,18077.71,1082.00,896.04,85.09051841636868
od500k,vehev3,allgreen,15239,90.48,18599.16,822.00,731.52,90.72390071867214
od500k,vehev2,kapusta2,10280,1704.02,22792.70,2600.00,895.98,-57.864408663912094
od500k,vehev2,kapusta,11718,2932.47,23661.20,3826.00,893.5300000000002,-132.49583762784428
od500k,vehev2,kapusta2,14368,856.58,19519.39,1751.00,894.42,47.26207040918102
od500k,vehev3,tpn,22760,167.14,15838.90,899.00,731.86,82.87061234947477
od500k,vehev3,kapusta2,15239,424.15,18507.76,1155.00,730.85,56.51572159399637
od500k,vehev2,tpn2,6325,239.85,20401.08,1134.00,894.15,85.20859671302149
od500k,vehev1,tpn2,24847,236.53,14196.40,1457.00,1220.47,80.48061925943043
od500k,vehev3,no-preemption,32556,976.07,19095.82,1707.00,730.93,
od500k,vehev1,allgreen,27226,96.07,17887.73,1316.00,1219.93,92.07447861668426
od500k,vehev1,tpn2,22570,387.09,18445.98,1608.00,1220.91,68.0402582605393
od500k,vehev2,tpn2,21907,292.48,14715.35,1188.00,895.52,89.46985652823531
od500k,vehev3,tpn2,27226,129.03,17822.85,860.00,730.97,86.78661764856479
od500k,vehev1,tpn2,4771,281.47,20402.74,1502.00,1220.53,82.22493069194384
od500k,vehev3,allgreen,4771,57.80,14661.03,789.00,731.2,94.08114362954922
od500k,vehev1,no-preemption,2094,1213.03,15559.57,2434.00,1220.97,
od500k,vehev3,tpn2,31737,94.78,20756.14,826.00,731.22,92.39380783089504
od500k,vehev3,kapusta2,6479,669.25,17977.04,1401.00,731.75,31.47002805709722
od500k,vehev1,kapusta2,20276,311.19,20428.02,1533.00,1221.81,74.28840544984342
od500k,vehev2,kapusta,21907,591.48,20908.20,1487.00,895.52,78.70497380785224
od500k,vehev1,kapusta,20276,117.86,25120.27,1339.00,1221.14,90.26199899199379
od500k,vehev3,no-preemption,11718,976.67,24390.29,1708.00,731.33,
od500k,vehev2,allgreen,4771,104.52,15678.12,999.00,894.48,86.89470120620909
od500k,vehev1,tpn2,12837,186.18,16400.37,1407.00,1220.82,84.62669066767955
od500k,vehev2,allgreen,14368,103.08,16522.46,997.00,893.92,93.65356909778232
od500k,vehev1,tpn2,27548,216.71,19006.26,1437.00,1220.29,86.27470850143453
od500k,vehev2,allgreen,22737,101.03,15471.46,995.00,893.97,88.67605191777443
od500k,vehev3,allgreen,6325,72.62,16360.65,804.00,731.38,92.56734627036765
od500k,vehev1,no-preemption,24847,1211.77,22092.08,2433.00,1221.23,
od500k,vehev2,allgreen,30616,112.15,15262.16,1007.00,894.85,93.40037897065919
od500k,vehev1,no-preemption,15239,1580.66,23963.31,2801.00,1220.34,
od500k,vehev2,tpn2,25029,259.10,17767.97,1153.00,893.9,67.79886407417072
od500k,vehev2,tpn2,16250,230.82,19506.50,1124.00,893.1800000000001,88.78256685895349
od500k,vehev1,allgreen,25029,388.07,15903.11,1609.00,1220.93,75.47895867559711
od500k,vehev3,tpn2,6325,137.02,19796.58,868.00,730.98,85.97600917055597
od500k,vehev2,kapusta2,15239,1134.23,18584.06,2029.00,894.77,9.062264483748372
od500k,vehev2,kapusta2,31737,779.24,22103.90,1674.00,894.76,86.86447606413017
od500k,vehev2,kapusta,10105,312.80,21971.92,1207.00,894.2,76.75230953318815
od500k,vehev3,tpn2,15239,117.99,19241.03,849.00,731.01,87.90354825150449
od500k,vehev2,tpn2,31737,201.23,20102.36,1096.00,894.77,96.60789810377408
od500k,vehev2,kapusta2,24847,1695.80,24545.98,2590.00,894.2,-35.094441833231095
od500k,vehev2,tpn,2094,95.40,20155.53,989.00,893.6,92.39743712345798
od500k,vehev1,kapusta,22760,126.60,19711.42,1347.00,1220.4,89.54177095982752
od500k,vehev2,no-preemption,11718,1261.30,17540.17,2155.00,893.7,
od500k,vehev3,kapusta2,227,497.11,20444.98,1229.00,731.89,60.11185466917015
od500k,vehev2,no-preemption,16993,1433.78,18190.67,2329.00,895.22,
od500k,vehev2,tpn2,30616,157.59,16941.13,1052.00,894.41,90.72639966104488
od500k,vehev2,no-preemption,21907,2777.55,24538.28,3672.00,894.4499999999998,
od500k,vehev2,kapusta2,22760,941.45,16539.31,1835.00,893.55,25.070635520713125
od500k,vehev1,kapusta2,12811,576.90,17231.30,1798.00,1221.1,63.456812020168755
od500k,vehev1,kapusta,10105,120.79,13425.86,1341.00,1220.21,90.01686034018216
od500k,vehev3,kapusta2,4771,154.24,17594.11,885.00,730.76,84.20546009380057
od500k,vehev2,kapusta2,16250,3120.45,26522.01,4015.00,894.5500000000002,-51.648207455933594
od500k,vehev2,tpn2,6479,183.07,20326.76,1077.00,893.9300000000001,87.2258622734853
od500k,vehev1,no-preemption,10105,1209.94,15209.02,2432.00,1222.06,
od500k,vehev2,allgreen,32668,76.53,20274.89,972.00,895.47,91.37495773695481
od500k,vehev2,kapusta,12811,361.15,21302.58,1255.00,893.85,73.03683683982621
od500k,vehev2,tpn2,12811,264.14,16182.73,1158.00,893.86,80.27952397306296
od500k,vehev3,no-preemption,227,1246.26,16563.80,1977.00,730.74,
od500k,vehev1,allgreen,32668,353.58,14705.40,1576.00,1222.42,70.75579375713363
od500k,vehev2,allgreen,227,83.97,15107.58,978.00,894.03,90.63138046837518
od500k,vehev3,allgreen,22570,98.59,14428.63,829.00,730.41,89.90270380991396
od500k,vehev3,tpn2,12837,115.71,15550.95,846.00,730.29,88.16532340547396
od500k,vehev2,tpn2,32668,278.20,19911.02,1171.00,892.8,68.64645553927646
od500k,vehev3,allgreen,14368,80.58,16978.81,812.00,731.42,90.89851471169594
