scenario,ev,alg,seed,tl,rt,ttt,eff,imp
od500k,vehev2,allgreen,6479,97.73,20573.08,993.00,895.27,93.18066051230524
od500k,vehev3,no-preemption,14368,885.35,21361.15,1617.00,731.65,
od500k,vehev2,allgreen,11718,1216.69,20970.57,2111.00,894.31,3.536827083168148
od500k,vehev3,tpn2,16993,123.16,14473.47,855.00,731.84,87.39496658376575
od500k,vehev3,no-preemption,24847,975.99,20162.49,1708.00,732.01,
od500k,vehev3,kapusta2,22570,506.75,16929.51,1238.00,731.25,48.10016386726751
od500k,vehev1,tpn2,32556,213.67,22918.49,1434.00,1220.33,86.4687889860616
od500k,vehev2,no-preemption,22760,1256.45,20609.70,2152.00,895.55,
od500k,vehev3,no-preemption,10105,974.70,22861.92,1707.00,732.3,
od500k,vehev3,allgreen,227,69.90,17015.00,801.00,731.1,94.39121852582927
od500k,vehev3,tpn,30366,92.58,20079.25,825.00,732.42,90.51346947976761
od500k,vehev2,no-preemption,27422,1612.73,22673.49,2507.00,894.27,
od500k,vehev1,kapusta,2094,135.13,31154.55,1357.00,1221.87,88.86012711969201
od500k,vehev1,kapusta2,11718,360.04,17672.33,1582.00,1221.96,77.32688480818156
od500k,vehev1,tpn2,14368,266.09,15953.11,1487.00,1220.91,79.56313699587561
od500k,vehev1,no-preemption,227,1580.94,21715.50,2802.00,1221.06,
od500k,vehev1,kapusta2,10280,390.77,22065.92,1612.00,1221.23,67.74068387075471
od500k,vehev1,kapusta2,15239,322.91,21308.75,1544.00,1221.09,79.57119178064859
od500k,vehev3,kapusta2,27548,320.99,19031.41,1052.00,731.01,67.07051847596381
od500k,vehev3,tpn,16993,97.27,20571.62,830.00,732.73,90.04472555702253
od500k,vehev1,tpn2,6479,388.80,15102.99,1609.00,1220.2,75.39287228723506
od500k,vehev3,kapusta2,32668,470.15,13302.71,1202.00,731.85,51.81260057191468
od500k,vehev1,allgreen,12837,95.81,17023.94,1315.00,1219.19,92.0887486994864
od500k,vehev3,kapusta,16993,152.84,19300.03,884.00,731.16,84.35731319148066
od500k,vehev1,kapusta,30366,139.00,24854.64,1361.00,1222.0,88.54637892533722
od500k,vehev1,kapusta2,32556,299.51,18109.31,1520.00,1220.49,81.03274670854732
od500k,vehev1,no-preemption,16250,1221.32,21575.22,2442.00,1220.68,
od500k,vehev2,allgreen,16250,113.18,18917.99,1008.00,894.8199999999999,94.49965738279332
od500k,vehev3,allgreen,10105,106.33,15125.39,837.00,730.67,89.09100235970043
od500k,vehev1,allgreen,22760,354.80,22994.48,1575.00,1220.2,70.69052398536178
od500k,vehev3,tpn2,14368,146.30,16775.41,878.00,731.7,83.47546168182075
od500k,vehev2,no-preemption,227,896.29,19800.79,1791.00,894.71,
od500k,vehev3,allgreen,2094,77.57,17690.21,809.00,731.4300000000001,92.04915848383592
od500k,vehev1,no-preemption,31737,1581.88,23782.39,2803.00,1221.12,
od500k,vehev3,allgreen,30616,97.15,18527.88,827.00,729.85,90.04549460007787
od500k,vehev1,tpn2,17651,208.28,18428.87,1429.00,1220.72,82.83133026691067
od500k,vehev1,no-preemption,27422,1575.02,22867.40,2795.00,1219.98,
od500k,vehev1,allgreen,16993,647.43,17368.58,1868.00,1220.5700000000002,46.549048098674106
od500k,vehev1,allgreen,21907,389.49,18252.38,1609.00,1219.51,67.80382561542149
od500k,vehev1,kapusta2,10105,411.62,18855.81,1632.00,1220.38,65.98013124617749
od500k,vehev1,kapusta2,14368,263.20,18071.75,1484.00,1220.8,79.78510149691631
od500k,vehev2,kapusta2,22737,1856.71,17808.21,2751.00,894.29,-108.10935013113946
od500k,vehev3,allgreen,20276,95.26,19362.58,827.00,731.74,90.24854639259684
od500k,vehev2,no-preemption,22570,1610.67,19480.06,2506.00,895.3299999999999,
od500k,vehev3,tpn2,30616,117.69,15946.62,848.00,730.31,87.94085701989877
od500k,vehev3,kapusta2,12837,622.47,15010.40,1355.00,732.53,36.33453340424661
od500k,vehev2,allgreen,21907,102.73,17530.02,997.00,894.27,96.30141671617073
od500k,vehev3,kapusta2,11718,457.75,16247.81,1189.00,731.25,53.13155927795468
od500k,vehev1,allgreen,2094,346.92,32190.10,1569.00,1222.08,71.40054244330314
od500k,vehev1,kapusta2,6479,837.19,19725.58,2059.00,1221.81,47.01429719688866
od500k,vehev1,allgreen,14368,345.53,16649.66,1567.00,1221.47,73.46180136865308
od500k,vehev2,allgreen,15239,96.42,15057.91,992.00,895.58,92.26945464458092
od500k,vehev2,allgreen,12811,113.08,15771.64,1008.00,894.92,91.55753983067298
od500k,vehev2,allgreen,10105,104.64,20875.63,1000.00,895.36,92.22302324025834
od500k,vehev1,kapusta,11718,133.89,28972.65,1355.00,1221.1100000000001,91.56842741630771
