scenario,ev,alg,seed,tl,rt,ttt,eff,imp,teleported
cologne,vehev2,kapusta2,2094,5012.59,55277.38,5328.00,315.40999999999985,1.2513391280755057,False
cologne,vehev3,tpn2,10105,645.41,16851.19,1168.00,522.59,1.337661331556685,False
cologne,vehev2,allgreen,22760,343.12,26154.90,658.00,314.88,7.8803042667288405,False
cologne,vehev1,allgreen,17651,7458.89,62475.14,7884.00,425.1099999999997,-1.0218903400551576,False
cologne,vehev2,tpn2,30366,1668.61,38866.54,1984.00,315.3900000000001,1.4004171136454895,False
cologne,vehev3,tpn2,17651,443.14,18116.73,965.00,521.86,3.033578553053211,False
cologne,vehev1,kapusta2,21907,,58861.59,,,,True
cologne,vehev3,kapusta2,12811,287.69,15075.24,810.00,522.31,3.289269700024332,False
cologne,vehev2,kapusta2,21907,761.53,31961.48,1077.00,315.47,17.698160282589,False
cologne,vehev3,allgreen,6479,230.97,16843.07,753.00,522.03,4.557994544746071,False
cologne,vehev1,no-preemption,11718,22413.44,78725.39,22838.00,424.5600000000013,,False
cologne,vehev1,allgreen,30616,7255.97,61979.34,7681.00,425.02999999999975,1.27172659203387,False
cologne,vehev1,allgreen,10105,4874.99,60714.48,5300.00,425.0100000000002,2.232693810653971,False
cologne,vehev3,tpn2,12811,104.11,14049.87,627.00,522.89,9.089328594755546,False
cologne,vehev3,no-preemption,6479,1052.76,19006.45,1575.00,522.24,,False
cologne,vehev2,tpn2,17651,233.62,25714.36,549.00,315.38,4.560782467254516,False
cologne,vehev2,tpn2,10105,243.22,27348.63,558.00,314.78,11.947126058712279,False
cologne,vehev2,no-preemption,20276,3117.46,47382.60,3433.00,315.53999999999996,,False
cologne,vehev3,allgreen,21907,97.90,14667.76,620.00,522.1,7.52288049029622,False
cologne,vehev3,no-preemption,2094,1472.86,19352.50,1995.00,522.1400000000001,,False
cologne,vehev1,allgreen,24847,,62936.79,,,,True
cologne,vehev2,allgreen,24847,220.16,25969.84,535.00,314.84000000000003,,False
cologne,vehev1,no-preemption,16993,13336.65,65134.46,13762.00,425.35000000000036,,False
cologne,vehev2,kapusta2,32668,1741.26,40338.56,2056.00,314.74,-1.331085884646256,False
cologne,vehev3,no-preemption,30366,1772.34,20889.04,2295.00,522.6600000000001,,False
cologne,vehev3,kapusta2,30616,737.98,18257.72,1260.00,522.02,-1.0601789998419744,False
cologne,vehev3,no-preemption,22760,867.93,17522.73,1390.00,522.07,,False
cologne,vehev2,kapusta2,6479,2737.32,46670.01,3052.00,314.67999999999984,-1.3373329750592375,False
cologne,vehev2,allgreen,31737,136.94,25105.32,452.00,315.06,,False
cologne,vehev1,allgreen,20276,,50899.39,,,,True
cologne,vehev2,allgreen,2094,3984.85,52370.77,4300.00,315.1500000000001,1.5740743064356248,False
cologne,vehev1,no-preemption,21907,6928.88,60558.65,7354.00,425.1199999999999,,False
cologne,vehev2,kapusta2,30616,1296.33,36078.98,1611.00,314.6700000000001,5.455277591354053,False
cologne,vehev3,tpn2,20276,314.66,16752.66,837.00,522.3399999999999,3.2514460052119745,False
cologne,vehev1,kapusta2,17651,11320.16,67573.48,11745.00,424.84000000000015,-1.5508959311477701,False
cologne,vehev1,kapusta2,30616,8809.27,63228.28,9234.00,424.72999999999956,1.0474886114286428,False
cologne,vehev1,tpn2,22760,8162.17,62024.32,8587.00,424.8299999999999,-2.0016455233671677,False
cologne,vehev2,kapusta2,12811,1798.11,39603.76,2113.00,314.8900000000001,1.415085840132139,False
cologne,vehev3,kapusta2,17651,679.99,17152.78,1202.00,522.01,1.9769408373652553,False
cologne,vehev2,tpn2,16993,667.44,29573.46,982.00,314.55999999999995,7.522968356706221,False
cologne,vehev1,no-preemption,12811,7652.96,61796.40,8078.00,425.03999999999996,,False
cologne,vehev2,no-preemption,30366,2336.75,44228.28,2652.00,315.25,,False
cologne,vehev3,kapusta2,30366,534.59,17184.18,1057.00,522.41,3.3153257636693536,False
cologne,vehev1,allgreen,30366,531.36,35937.87,956.00,424.64,12.871518367961457,False
cologne,vehev1,tpn2,16993,11490.99,64209.65,11916.00,425.0100000000002,1.1606180146358147,False
cologne,vehev2,tpn2,11718,257.16,31122.40,572.00,314.84,,False
cologne,vehev2,kapusta2,30366,1657.62,38902.28,1973.00,315.3800000000001,1.4097018617053367,False
cologne,vehev1,tpn2,12811,7474.52,61470.75,7899.00,424.47999999999956,1.02387310489503,False
cologne,vehev3,no-preemption,12811,946.29,17569.98,1469.00,522.71,,False
cologne,vehev2,allgreen,20276,346.68,27376.06,662.00,315.32,8.992327218183917,False
cologne,vehev1,allgreen,31737,3795.51,57201.49,4220.00,424.4899999999998,1.8807222217831068,False
cologne,vehev1,kapusta2,32668,,56612.36,,,,True
cologne,vehev1,no-preemption,30366,6839.41,59078.48,7264.00,424.59000000000015,,False
cologne,vehev3,allgreen,24847,140.99,14834.14,663.00,522.01,5.079083622951982,False
cologne,vehev1,allgreen,6479,575.71,29640.88,1001.00,425.28999999999996,10.374633061784579,False
cologne,vehev2,allgreen,30366,1110.74,34119.05,1426.00,315.26,2.103777661739021,False
cologne,vehev3,kapusta2,20276,719.50,18170.15,1242.00,522.5,1.4219596942321056,False
cologne,vehev1,tpn2,24847,,55170.06,,,,True
cologne,vehev2,tpn2,21907,258.00,25673.69,573.00,315.0,52.23906976744186,False
cologne,vehev1,no-preemption,2094,8631.57,71039.89,9057.00,425.4300000000003,,False
cologne,vehev3,tpn2,31737,320.90,16424.83,843.00,522.1,2.3270177625428485,False
cologne,vehev3,kapusta2,6479,806.56,18691.18,1329.00,522.44,1.305246974806586,False
cologne,vehev1,kapusta2,20276,3765.88,50668.82,4191.00,425.1199999999999,2.7563809786822735,False
cologne,vehev3,no-preemption,11718,792.18,17376.43,1314.00,521.82,,False
cologne,vehev1,no-preemption,24847,7957.55,60509.40,8383.00,425.4499999999998,,False
cologne,vehev2,allgreen,30616,375.55,27472.71,691.00,315.45,18.830621754759687,False
cologne,vehev2,kapusta2,31737,419.33,28176.65,734.00,314.67,,False
cologne,vehev2,tpn2,31737,135.33,25929.26,450.00,314.66999999999996,,False
cologne,vehev2,kapusta2,24847,2244.09,43113.24,2559.00,314.90999999999985,,False
cologne,vehev2,no-preemption,11718,,22525.45,,,,True
cologne,vehev2,no-preemption,16993,5021.13,53040.56,5336.00,314.8699999999999,,False
cologne,vehev2,tpn2,30616,6464.92,57672.70,6780.00,315.0799999999999,1.093878965246283,False
cologne,vehev2,no-preemption,21907,13477.68,71869.10,13793.00,315.3199999999997,,False
cologne,vehev2,kapusta2,22760,,19118.21,,,,True
cologne,vehev1,kapusta2,12811,,49638.07,,,,True
cologne,vehev2,tpn2,6479,1266.74,35282.17,1582.00,315.26,1.6158406618564187,False
cologne,vehev1,no-preemption,10105,10884.36,72667.77,11309.00,424.6399999999994,,False
cologne,vehev2,allgreen,32668,882.75,32151.51,1198.00,315.25,1.4819031435853867,False
cologne,vehev2,tpn2,12811,3189.55,48043.52,3505.00,315.4499999999998,-1.2535174180972144,False
cologne,vehev1,allgreen,32668,6115.00,59169.17,6540.00,425.0,-1.106542989602296,False
cologne,vehev2,tpn2,32668,787.56,36377.46,1103.00,315.44000000000005,1.661016303519732,False
cologne,vehev2,kapusta2,17651,675.82,30229.58,991.00,315.17999999999995,1.5765884407090645,False
cologne,vehev2,tpn2,22760,977.99,39790.71,1293.00,315.01,2.764741970776797,False
