7016 59.34 0.94 1073.66 34.70
12842 66.09 1.74 1428.81 110.03
17500 70.10 1.75 1721.80 142.73
22154 71.01 1.99 1820.19 175.34
25882 76.02 2.50 2505.97 316.97
