scenario,ev,alg,seed,tl,rt,ttt,eff,imp
od1500k,vehev3,tpn2,22760,307.60,46207.13,1039.00,731.4,68.60936208427304
od1500k,vehev2,no-preemption,12811,16251.60,140993.73,17145.00,893.3999999999996,
od1500k,vehev1,tpn2,20276,440.47,45916.56,1661.00,1220.53,86.95498942704663
od1500k,vehev3,no-preemption,20276,2237.19,64457.02,2969.00,731.81,
od1500k,vehev3,allgreen,12811,106.96,39563.01,839.00,732.04,98.51923226013668
od1500k,vehev1,kapusta2,6325,3582.22,91845.25,4803.00,1220.7800000000002,-3.51860735277969
od1500k,vehev1,no-preemption,22760,3033.56,81338.58,4256.00,1222.44,
od1500k,vehev2,no-preemption,27548,9696.34,119133.77,10591.00,894.6599999999999,
od1500k,vehev2,kapusta2,10105,16639.16,131110.89,17534.00,894.8400000000001,-274.60820622502393
od1500k,vehev3,kapusta,21907,369.54,53595.73,1101.00,731.46,80.68623095617635
od1500k,vehev3,kapusta2,25029,639.37,47157.12,1371.00,731.63,58.42117927074324
od1500k,vehev3,no-preemption,6325,9488.73,109847.52,10220.00,731.2700000000004,
od1500k,vehev3,allgreen,32668,93.51,47449.15,825.00,731.49,94.17662554413148
od1500k,vehev1,no-preemption,6325,3460.46,79180.17,4681.00,1220.54,
od1500k,vehev3,tpn2,30366,590.94,46177.94,1323.00,732.06,79.52241847119852
od1500k,vehev2,tpn2,27422,310.48,52569.39,1204.00,893.52,98.28856772278854
od1500k,vehev2,no-preemption,24847,16413.48,153243.53,17309.00,895.5200000000004,
od1500k,vehev3,tpn,12811,100.73,45016.00,833.00,732.27,98.6054811664507
od1500k,vehev2,kapusta2,25029,17012.14,126117.16,17907.00,894.8600000000006,-359.67823868917657
od1500k,vehev3,kapusta,30616,675.13,47895.91,1407.00,731.87,74.85081020674241
od1500k,vehev1,tpn2,16250,469.28,55052.39,1690.00,1220.72,77.91436451087623
od1500k,vehev2,tpn2,22737,8421.17,97258.10,9315.00,893.8299999999999,81.26769395308632
od1500k,vehev1,allgreen,27548,173.36,53832.37,1394.00,1220.6399999999999,87.54955472565355
od1500k,vehev1,no-preemption,10280,3200.56,74178.69,4422.00,1221.44,
od1500k,vehev2,no-preemption,10105,4441.75,77258.07,5335.00,893.25,
od1500k,vehev3,tpn2,32668,113.56,45980.48,845.00,731.44,92.92800338778281
od1500k,vehev3,kapusta2,2094,1403.31,51897.83,2135.00,731.69,54.74857632999477
od1500k,vehev1,kapusta2,2094,2822.63,64584.98,4044.00,1221.37,-39.45455892888023
od1500k,vehev1,tpn2,31737,2355.94,69201.98,3577.00,1221.06,26.364909297760885
od1500k,vehev2,no-preemption,32668,9298.89,95236.74,10194.00,895.1100000000006,
od1500k,vehev2,kapusta,22760,58182.98,340112.97,59079.00,896.0199999999968,-625.9542165698238
od1500k,vehev2,kapusta,16993,35143.87,214145.24,36038.00,894.1299999999974,-199.9219981446824
od1500k,vehev3,allgreen,16993,2529.58,70606.24,3262.00,732.4200000000001,27.770036435073607
od1500k,vehev1,tpn2,21907,482.84,48994.18,1705.00,1222.16,82.4928570392609
od1500k,vehev1,kapusta,16993,2003.39,65915.11,3225.00,1221.61,24.659945170036814
od1500k,vehev2,allgreen,27548,14330.29,150922.63,15225.00,894.7099999999991,-47.79071278441145
od1500k,vehev3,allgreen,17651,59.84,35846.53,792.00,732.16,97.32808237221991
od1500k,vehev1,no-preemption,4771,2769.09,78018.46,3990.00,1220.9099999999999,
od1500k,vehev2,tpn2,20276,4606.21,80666.72,5502.00,895.79,36.79464960776322
od1500k,vehev3,kapusta2,10105,1854.54,53126.32,2586.00,731.46,-48.28490556985909
od1500k,vehev1,kapusta2,4771,3081.19,70648.32,4303.00,1221.81,-11.270850712689008
od1500k,vehev3,tpn,10105,150.42,43992.89,881.00,730.58,87.97275038779524
od1500k,vehev1,allgreen,12811,191.08,53826.89,1411.00,1219.92,92.01367555661439
od1500k,vehev3,tpn,21907,191.88,44260.81,924.00,732.12,89.97151592756161
