scenario,ev,alg,metric,seed,value
od500k,vehev1,no-preemption,ttt,27422,2795.00
od500k,vehev1,allgreen,tl,16993,647.43
od500k,vehev1,allgreen,rt,16993,17368.58
od500k,vehev1,allgreen,ttt,16993,1868.00
od500k,vehev1,allgreen,tl,21907,389.49
od500k,vehev1,allgreen,rt,21907,18252.38
od500k,vehev1,allgreen,ttt,21907,1609.00
od500k,vehev1,kapusta2,tl,10105,411.62
od500k,vehev1,kapusta2,rt,10105,18855.81
od500k,vehev1,kapusta2,ttt,10105,1632.00
od500k,vehev1,kapusta2,tl,14368,263.20
od500k,vehev1,kapusta2,rt,14368,18071.75
od500k,vehev1,kapusta2,ttt,14368,1484.00
od500k,vehev2,kapusta2,tl,22737,1856.71
od500k,vehev2,kapusta2,rt,22737,17808.21
od500k,vehev2,kapusta2,ttt,22737,2751.00
od500k,vehev3,allgreen,tl,20276,95.26
od500k,vehev3,allgreen,rt,20276,19362.58
od500k,vehev3,allgreen,ttt,20276,827.00
od500k,vehev2,no-preemption,tl,22570,1610.67
od500k,vehev2,no-preemption,rt,22570,19480.06
od500k,vehev2,no-preemption,ttt,22570,2506.00
od500k,vehev3,tpn2,tl,30616,117.69
od500k,vehev3,tpn2,rt,30616,15946.62
od500k,vehev3,tpn2,ttt,30616,848.00
od500k,vehev3,kapusta2,tl,12837,622.47
od500k,vehev3,kapusta2,rt,12837,15010.40
od500k,vehev3,kapusta2,ttt,12837,1355.00
od500k,vehev2,allgreen,tl,21907,102.73
od500k,vehev2,allgreen,rt,21907,17530.02
od500k,vehev2,allgreen,ttt,21907,997.00
od500k,vehev3,kapusta2,tl,11718,457.75
od500k,vehev3,kapusta2,rt,11718,16247.81
od500k,vehev3,kapusta2,ttt,11718,1189.00
od500k,vehev1,allgreen,tl,2094,346.92
od500k,vehev1,allgreen,rt,2094,32190.10
od500k,vehev1,allgreen,ttt,2094,1569.00
od500k,vehev1,kapusta2,tl,6479,837.19
od500k,vehev1,kapusta2,rt,6479,19725.58
od500k,vehev1,kapusta2,ttt,6479,2059.00
od500k,vehev1,allgreen,tl,14368,345.53
od500k,vehev1,allgreen,rt,14368,16649.66
od500k,vehev1,allgreen,ttt,14368,1567.00
od500k,vehev2,allgreen,tl,15239,96.42
od500k,vehev2,allgreen,rt,15239,15057.91
od500k,vehev2,allgreen,ttt,15239,992.00
od500k,vehev2,allgreen,tl,12811,113.08
od500k,vehev2,allgreen,rt,12811,15771.64
od500k,vehev2,allgreen,ttt,12811,1008.00
od500k,vehev2,allgreen,tl,10105,104.64
od500k,vehev2,allgreen,rt,10105,20875.63
od500k,vehev2,allgreen,ttt,10105,1000.00
od500k,vehev1,kapusta,tl,11718,133.89
od500k,vehev1,kapusta,rt,11718,28972.65
od500k,vehev1,kapusta,ttt,11718,1355.00
od500k,vehev3,tpn2,tl,27548,222.24
od500k,vehev3,tpn2,rt,27548,15533.69
od500k,vehev3,tpn2,ttt,27548,954.00
od500k,vehev2,tpn2,tl,12837,288.32
od500k,vehev2,tpn2,rt,12837,16861.54
od500k,vehev2,tpn2,ttt,12837,1182.00
od500k,vehev1,kapusta2,tl,16993,354.58
od500k,vehev1,kapusta2,rt,16993,20688.26
od500k,vehev1,kapusta2,ttt,16993,1577.00
od500k,vehev3,kapusta,tl,2094,352.46
od500k,vehev3,kapusta,rt,2094,17972.77
od500k,vehev3,kapusta,ttt,2094,1084.00
od500k,vehev2,no-preemption,tl,4771,797.54
od500k,vehev2,no-preemption,rt,4771,19180.77
od500k,vehev2,no-preemption,ttt,4771,1692.00
od500k,vehev2,kapusta,tl,30616,521.29
od500k,vehev2,kapusta,rt,30616,15925.94
od500k,vehev2,kapusta,ttt,30616,1416.00
od500k,vehev2,kapusta2,tl,16993,1497.41
od500k,vehev2,kapusta2,rt,16993,18528.07
od500k,vehev2,kapusta2,ttt,16993,2392.00
od500k,vehev3,allgreen,tl,27422,99.55
od500k,vehev3,allgreen,rt,27422,15013.54
od500k,vehev3,allgreen,ttt,27422,832.00
od500k,vehev3,tpn2,tl,22760,120.89
od500k,vehev3,tpn2,rt,22760,14799.13
od500k,vehev3,tpn2,ttt,22760,852.00
od500k,vehev2,no-preemption,tl,12811,1339.42
od500k,vehev2,no-preemption,rt,12811,18302.72
od500k,vehev2,no-preemption,ttt,12811,2234.00
od500k,vehev1,tpn2,tl,20276,398.04
od500k,vehev1,tpn2,rt,20276,18178.61
od500k,vehev1,tpn2,ttt,20276,1618.00
od500k,vehev3,no-preemption,tl,20276,976.88
od500k,vehev3,no-preemption,rt,20276,24564.39
od500k,vehev3,no-preemption,ttt,20276,1708.00
od500k,vehev3,allgreen,tl,12811,100.24
od500k,vehev3,allgreen,rt,12811,20726.04
od500k,vehev3,allgreen,ttt,12811,831.00
od500k,vehev1,kapusta2,tl,6325,1035.80
od500k,vehev1,kapusta2,rt,6325,22952.06
od500k,vehev1,kapusta2,ttt,6325,2257.00
od500k,vehev1,no-preemption,tl,22760,1210.53
od500k,vehev1,no-preemption,rt,22760,15147.52
od500k,vehev1,no-preemption,ttt,22760,2432.00
od500k,vehev2,no-preemption,tl,27548,1166.99
od500k,vehev2,no-preemption,rt,27548,21844.11
od500k,vehev2,no-preemption,ttt,27548,2061.00
od500k,vehev2,kapusta2,tl,10105,4454.15
od500k,vehev2,kapusta2,rt,10105,25995.76
od500k,vehev2,kapusta2,ttt,10105,5348.00
od500k,vehev3,kapusta,tl,21907,248.74
od500k,vehev3,kapusta,rt,21907,18309.86
od500k,vehev3,kapusta,ttt,21907,980.00
od500k,vehev3,kapusta2,tl,25029,358.24
od500k,vehev3,kapusta2,rt,25029,17293.24
od500k,vehev3,kapusta2,ttt,25029,1090.00
od500k,vehev3,no-preemption,tl,6325,977.04
od500k,vehev3,no-preemption,rt,6325,20714.78
od500k,vehev3,no-preemption,ttt,6325,1708.00
od500k,vehev3,allgreen,tl,32668,71.93
od500k,vehev3,allgreen,rt,32668,19488.81
od500k,vehev3,allgreen,ttt,32668,803.00
od500k,vehev1,no-preemption,tl,6325,1576.43
od500k,vehev1,no-preemption,rt,6325,24533.16
od500k,vehev1,no-preemption,ttt,6325,2798.00
od500k,vehev3,tpn2,tl,30366,140.60
od500k,vehev3,tpn2,rt,30366,14668.42
od500k,vehev3,tpn2,ttt,30366,871.00
od500k,vehev2,tpn2,tl,27422,196.38
od500k,vehev2,tpn2,rt,27422,15803.58
od500k,vehev2,tpn2,ttt,27422,1092.00
od500k,vehev2,no-preemption,tl,24847,1255.27
od500k,vehev2,no-preemption,rt,24847,17526.89
od500k,vehev2,no-preemption,ttt,24847,2150.00
od500k,vehev3,tpn,tl,12811,100.34
od500k,vehev3,tpn,rt,12811,20316.39
od500k,vehev3,tpn,ttt,12811,832.00
od500k,vehev2,kapusta2,tl,25029,640.55
od500k,vehev2,kapusta2,rt,25029,17466.47
od500k,vehev2,kapusta2,ttt,25029,1536.00
od500k,vehev3,kapusta,tl,30616,338.65
od500k,vehev3,kapusta,rt,30616,20212.09
od500k,vehev3,kapusta,ttt,30616,1070.00
od500k,vehev1,tpn2,tl,16250,169.64
od500k,vehev1,tpn2,rt,16250,21188.22
od500k,vehev1,tpn2,ttt,16250,1390.00
od500k,vehev2,tpn2,tl,22737,265.92
od500k,vehev2,tpn2,rt,22737,16448.73
od500k,vehev2,tpn2,ttt,22737,1162.00
