scenario,ev,alg,seed,tl,rt,ttt,eff,imp,teleported
turin,vehev1,no-preemption,11718,1755.85,10150.59,2545.00,789.1500000000001,,False
turin,vehev1,allgreen,30616,1421.76,9485.21,2211.00,789.24,2.9669564483457127,False
turin,vehev1,allgreen,10105,603.08,7939.43,1392.00,788.92,,False
turin,vehev3,tpn2,12811,73.77,13459.93,653.00,579.23,32.73376711400299,False
turin,vehev3,no-preemption,6479,2269.15,24167.67,2850.00,580.8499999999999,,False
turin,vehev2,tpn2,17651,100.67,13997.38,986.00,885.33,4.18068938114632,False
turin,vehev2,tpn2,10105,148.17,14650.47,1034.00,885.83,3.056961598164271,False
turin,vehev2,no-preemption,20276,416.37,15843.82,1302.00,885.63,,False
turin,vehev3,allgreen,21907,165.27,14004.63,744.00,578.73,,False
turin,vehev3,no-preemption,2094,2532.52,25305.91,3112.00,579.48,,False
turin,vehev1,allgreen,24847,1392.60,9369.44,2181.00,788.4000000000001,1.954667528364211,False
turin,vehev2,allgreen,24847,85.22,13214.60,972.00,886.78,4.671673316122976,False
turin,vehev1,no-preemption,16993,2287.20,11176.44,3077.00,789.8000000000002,,False
turin,vehev2,kapusta2,32668,231.02,13881.75,1116.00,884.98,1.7314951086486017,False
turin,vehev3,no-preemption,30366,1872.46,29398.12,2453.00,580.54,,False
turin,vehev3,kapusta2,30616,68.29,15420.66,648.00,579.71,21.57050812710499,False
turin,vehev3,no-preemption,22760,5730.60,37920.22,6311.00,580.3999999999996,,False
turin,vehev2,kapusta2,6479,284.55,14482.80,1170.00,885.45,1.8023545949745212,False
turin,vehev2,allgreen,31737,154.45,13631.86,1040.00,885.55,2.639106506960182,False
turin,vehev1,allgreen,20276,2404.15,11797.20,3193.00,788.8499999999999,1.4800532412703034,False
turin,vehev2,allgreen,2094,81.14,14853.75,966.00,884.86,4.938624599457728,False
turin,vehev1,no-preemption,21907,5490.52,13737.39,6279.00,788.4799999999996,,False
turin,vehev2,kapusta2,30616,289.45,14530.66,1175.00,885.55,1.052409742615305,False
turin,vehev3,tpn2,20276,206.46,14055.43,786.00,579.54,36.01855080887339,False
turin,vehev1,kapusta2,17651,476.98,7187.02,1268.00,791.02,3.9064531007589416,False
turin,vehev1,kapusta2,30616,1385.64,9394.70,2176.00,790.3599999999999,3.0442972200571576,False
turin,vehev1,tpn2,22760,106.35,6799.90,898.00,791.65,75.72157968970382,False
turin,vehev2,kapusta2,12811,205.02,15571.60,1091.00,885.98,2.0564822944103014,False
turin,vehev3,kapusta2,17651,330.04,14804.69,909.00,578.96,6.898466852502726,False
turin,vehev2,tpn2,16993,79.36,13340.53,966.00,886.64,5.348286290322581,False
turin,vehev1,no-preemption,12811,3708.71,13072.46,4500.00,791.29,,False
turin,vehev2,no-preemption,30366,421.04,15145.46,1307.00,885.96,,False
